hece	suelo	disper	ind	esp	biom	long							
0.65111	30.3	0.24593	10	2.66667	0.22542	8.109							
0.50889	26.7	0.19185	3	1	0.04966	5.956							
0.44	35.6	0.22358	25.33333	1.66667	0.57635	13.352							
0.79556	83	0.76852	66.66667	8.33333	0.9924	8.305							
0.56667	83.1	0.5537	47.66667	5.33333	0.7128	7.396							
0.65778	64	0.51593	38.66667	8	0.60976	8.233							
0.92667	89.2	0.93148	116.33333	9	3.48285	9.464							
0.91556	101.5	0.82704	75	9.33333	2.25483	9.57							
0.73778	111.2	0.72741	90.66667	6.33333	1.08162	7.163							
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
